x,y,delme,B
1.950,144.030,0.000,-0.538
2.750,144.030,0.000,0.545
3.550,144.030,0.000,2.249
4.350,144.030,0.000,2.714
5.150,144.030,0.000,1.276
5.950,144.030,0.000,-0.276
6.750,144.030,0.000,-0.652
7.550,144.030,0.000,-0.438
8.350,144.030,0.000,-0.300
9.150,144.030,0.000,-0.208
-1.250,145.030,0.000,-0.164
-0.450,145.030,0.000,-0.227
0.350,145.030,0.000,-0.330
1.150,145.030,0.000,-0.489
1.950,145.030,0.000,-0.550
2.750,145.030,0.000,0.392
3.550,145.030,0.000,2.084
4.350,145.030,0.000,2.676
5.150,145.030,0.000,1.275
5.950,145.030,0.000,-0.248
6.750,145.030,0.000,-0.640
7.550,145.030,0.000,-0.438
8.350,145.030,0.000,-0.288
9.150,145.030,0.000,-0.206
-1.250,146.030,0.000,-0.163
-0.450,146.030,0.000,-0.224
0.350,146.030,0.000,-0.331
1.150,146.030,0.000,-0.481
1.950,146.030,0.000,-0.589
2.750,146.030,0.000,0.115
3.550,146.030,0.000,1.680
4.350,146.030,0.000,2.367
5.150,146.030,0.000,1.049
5.950,146.030,0.000,-0.384
6.750,146.030,0.000,-0.630
7.550,146.030,0.000,-0.425
8.350,146.030,0.000,-0.284
9.150,146.030,0.000,-0.199
-1.250,147.030,0.000,-0.157
-0.450,147.030,0.000,-0.225
0.350,147.030,0.000,-0.323
1.150,147.030,0.000,-0.471
1.950,147.030,0.000,-0.521
2.750,147.030,0.000,0.459
3.550,147.030,0.000,1.977
4.350,147.030,0.000,2.213
5.150,147.030,0.000,0.900
5.950,147.030,0.000,-0.356
6.750,147.030,0.000,-0.621
7.550,147.030,0.000,-0.421
8.350,147.030,0.000,-0.290
9.150,147.030,0.000,-0.201
-1.250,148.030,0.000,-0.164
-0.450,148.030,0.000,-0.220
0.350,148.030,0.000,-0.323
1.150,148.030,0.000,-0.464
1.950,148.030,0.000,-0.553
2.750,148.030,0.000,0.281
3.550,148.030,0.000,1.739
4.350,148.030,0.000,2.229
5.150,148.030,0.000,0.880
5.950,148.030,0.000,-0.435
6.750,148.030,0.000,-0.616
7.550,148.030,0.000,-0.418
8.350,148.030,0.000,-0.280
9.150,148.030,0.000,-0.199
-1.250,149.030,0.000,-0.162
-0.450,149.030,0.000,-0.220
0.350,149.030,0.000,-0.320
1.150,149.030,0.000,-0.464
1.950,149.030,0.000,-0.543
2.750,149.030,0.000,0.175
3.550,149.030,0.000,1.706
4.350,149.030,0.000,2.489
5.150,149.030,0.000,1.216
5.950,149.030,0.000,-0.257
6.750,149.030,0.000,-0.608
7.550,149.030,0.000,-0.421
8.350,149.030,0.000,-0.288
9.150,149.030,0.000,-0.204
-1.250,150.030,0.000,-0.165
-0.450,150.030,0.000,-0.219
0.350,150.030,0.000,-0.312
1.150,150.030,0.000,-0.461
1.950,150.030,0.000,-0.530
2.750,150.030,0.000,0.207
3.550,150.030,0.000,1.663
4.350,150.030,0.000,2.258
5.150,150.030,0.000,0.959
5.950,150.030,0.000,-0.248
6.750,150.030,0.000,-0.608
7.550,150.030,0.000,-0.423
8.350,150.030,0.000,-0.283
9.150,150.030,0.000,-0.196
-1.250,151.030,0.000,-0.162
-0.450,151.030,0.000,-0.223
0.350,151.030,0.000,-0.318
1.150,151.030,0.000,-0.465
1.950,151.030,0.000,-0.564
2.750,151.030,0.000,0.173
3.550,151.030,0.000,1.757
4.350,151.030,0.000,2.613
5.150,151.030,0.000,1.247
5.950,151.030,0.000,-0.205
6.750,151.030,0.000,-0.620
7.550,151.030,0.000,-0.434
8.350,151.030,0.000,-0.294
9.150,151.030,0.000,-0.207
-1.250,152.030,0.000,-0.162
-0.450,152.030,0.000,-0.220
0.350,152.030,0.000,-0.324
1.150,152.030,0.000,-0.474
1.950,152.030,0.000,-0.555
2.750,152.030,0.000,0.410
3.550,152.030,0.000,2.272
4.350,152.030,0.000,2.721
5.150,152.030,0.000,1.090
5.950,152.030,0.000,-0.325
6.750,152.030,0.000,-0.635
7.550,152.030,0.000,-0.434
8.350,152.030,0.000,-0.291
9.150,152.030,0.000,-0.203
-1.250,153.030,0.000,-0.168
-0.450,153.030,0.000,-0.229
0.350,153.030,0.000,-0.327
1.150,153.030,0.000,-0.483
1.950,153.030,0.000,-0.569
2.750,153.030,0.000,0.370
3.550,153.030,0.000,2.216
4.350,153.030,0.000,2.493
5.150,153.030,0.000,0.921
5.950,153.030,0.000,-0.371
6.750,153.030,0.000,-0.635
7.550,153.030,0.000,-0.435
8.350,153.030,0.000,-0.287
9.150,153.030,0.000,-0.201
-1.250,154.030,0.000,-0.162
-0.450,154.030,0.000,-0.228
0.350,154.030,0.000,-0.325
1.150,154.030,0.000,-0.484
1.950,154.030,0.000,-0.571
2.750,154.030,0.000,0.392
3.550,154.030,0.000,2.286
4.350,154.030,0.000,2.653
5.150,154.030,0.000,1.249
5.950,154.030,0.000,-0.209
6.750,154.030,0.000,-0.637
7.550,154.030,0.000,-0.442
8.350,154.030,0.000,-0.292
9.150,154.030,0.000,-0.207
-1.250,155.030,0.000,-0.166
-0.450,155.030,0.000,-0.223
0.350,155.030,0.000,-0.319
1.150,155.030,0.000,-0.484
1.950,155.030,0.000,-0.584
2.750,155.030,0.000,0.235
3.550,155.030,0.000,1.833
4.350,155.030,0.000,2.502
5.150,155.030,0.000,1.071
5.950,155.030,0.000,-0.315
6.750,155.030,0.000,-0.644
7.550,155.030,0.000,-0.440
8.350,155.030,0.000,-0.297
9.150,155.030,0.000,-0.206
-1.250,156.030,0.000,-0.167
-0.450,156.030,0.000,-0.222
0.350,156.030,0.000,-0.320
1.150,156.030,0.000,-0.483
1.950,156.030,0.000,-0.587
2.750,156.030,0.000,0.107
3.550,156.030,0.000,1.663
4.350,156.030,0.000,2.588
5.150,156.030,0.000,1.233
5.950,156.030,0.000,-0.228
6.750,156.030,0.000,-0.635
7.550,156.030,0.000,-0.443
8.350,156.030,0.000,-0.295
9.150,156.030,0.000,-0.198
