I,U,delme
2.33930E+1,-6.44258E-8,1.92450E-3
2.32680E+1,-5.68760E-8,1.91480E-3
2.31430E+1,-4.88228E-8,1.90490E-3
2.30180E+1,-5.03328E-8,1.89500E-3
2.28930E+1,-6.29159E-8,1.88450E-3
2.27680E+1,-4.88228E-8,1.87430E-3
2.26430E+1,-6.64393E-8,1.86470E-3
2.25180E+1,-6.59362E-8,1.85420E-3
2.23930E+1,-6.79495E-8,1.84380E-3
2.22680E+1,-4.63063E-8,1.83310E-3
2.21430E+1,-6.29161E-8,1.82300E-3
2.20180E+1,-5.88895E-8,1.81340E-3
2.18930E+1,-5.23462E-8,1.80230E-3
2.17680E+1,-5.63729E-8,1.79180E-3
2.14555E+1,-6.03995E-8,1.76580E-3
2.11430E+1,-4.93260E-8,1.74000E-3
2.08305E+1,-4.42928E-8,1.71480E-3
2.05180E+1,-5.78826E-8,1.68850E-3
2.02055E+1,-6.94590E-8,1.66250E-3
1.98930E+1,-4.22794E-8,1.63710E-3
1.95805E+1,-5.28495E-8,1.61160E-3
1.92680E+1,-6.14060E-8,1.58540E-3
1.89555E+1,-6.09028E-8,1.55960E-3
1.86430E+1,-3.92598E-8,1.53390E-3
1.83305E+1,-5.28492E-8,1.50880E-3
1.80180E+1,-6.29157E-8,1.48290E-3
1.77055E+1,-5.53658E-8,1.45760E-3
1.73930E+1,-5.08357E-8,1.43100E-3
1.70805E+1,-5.08357E-8,1.40540E-3
1.67680E+1,-3.72458E-8,1.37970E-3
1.64555E+1,-4.12724E-8,1.35380E-3
1.61430E+1,-5.13395E-8,1.32820E-3
1.58305E+1,-4.88229E-8,1.30230E-3
1.55180E+1,-5.48629E-8,1.27620E-3
1.52055E+1,-6.69427E-8,1.24970E-3
1.48930E+1,-4.17764E-8,1.22350E-3
1.45805E+1,-5.68765E-8,1.19700E-3
1.42680E+1,-6.59364E-8,1.17110E-3
1.39555E+1,-5.48628E-8,1.14460E-3
1.36430E+1,-6.29160E-8,1.11870E-3
1.33305E+1,-5.03331E-8,1.09350E-3
1.30180E+1,-5.18431E-8,1.06730E-3
1.27055E+1,-4.73131E-8,1.04230E-3
1.23930E+1,-4.88230E-8,1.01670E-3
1.20805E+1,-6.19092E-8,9.90100E-4
1.17680E+1,-5.33527E-8,9.64400E-4
1.14555E+1,-4.22795E-8,9.38700E-4
1.05180E+1,-5.63725E-8,8.61500E-4
9.58050E+0,-5.08359E-8,7.84900E-4
8.64300E+0,-6.14057E-8,7.09000E-4
7.70550E+0,-5.08359E-8,6.32200E-4
6.76800E+0,-3.67429E-8,5.55600E-4
5.83050E+0,-4.78161E-8,4.78900E-4
4.89300E+0,-4.58030E-8,4.02000E-4
3.95550E+0,-5.73795E-8,3.25800E-4
3.01800E+0,-5.13395E-8,2.50100E-4
2.08050E+0,-4.78164E-8,1.73600E-4
1.14300E+0,-6.99627E-8,9.66000E-5
2.05500E-1,-3.97629E-8,2.03000E-5
0.00000E+0,-6.09025E-8,9.20000E-6
0.00000E+0,-7.29823E-8,9.40000E-6
0.00000E+0,-5.53659E-8,9.20000E-6
